name,party,page_views
Bill Oliver,CPC,825
Edward John Barker Pense,Liberal,108
Ernie Steeves,CPC,1692
Angus Morrison,CPC,370
Leslie Frost,CPC,7292
Mike Ellis,CPC,2326
Muriel Baillie,CPC,195
Berry Vrbanovic,Liberal,4367
Brian Bowman,CPC,16797
Joe Cressy,NDP,11699
Katrina Chen,NDP,3951
Jim Tredger,NDP,233
Erin O'Toole,CPC,936280
Kevin Barr,NDP,839
Mark Adler,CPC,2816
Sandy Silver,Liberal,25570
Jan Stick,NDP,312
Gordon Towers,CPC,595
Lloyd MacPhail,CPC,368
Jim Eglinski,CPC,1430
Louis-Philippe Brodeur,Liberal,584
Scott Reid,Liberal,1662
Lucien Bouchard,BQ,53054
Léo Cadieux,Liberal,692
Leonard L. Pace,Liberal,244
Thomas Mulcair,NDP,66674
Paul Hellyer,Liberal,89022
Mario Silva,Liberal,3687
Martial Asselin,CPC,1022
David de Burgh Graham,Liberal,1517
Matthew Henry Richey,Liberal,248
Maurice Lamontagne,Liberal,448
Maurice Sauvé,Liberal,1543
Mike Harcourt,NDP,9620
Jane Philpott,Liberal,32187
Jody Wilson-Raybould,Liberal,156145
Murdock MacKinnon,CPC,70
Joseph Edmond Marcile,Liberal,107
Nancy Ruth,CPC,3986
Kate White,NDP,5712
Scott Kent,Liberal,794
Nathan Phillips,CPC,8834
Wade MacLauchlan,Liberal,6193
David Hendsbee,CPC,642
Shaye Anderson,NDP,1448
Erin Babcock,NDP,1281
Oneil Carlier,NDP,760
Jon Carson,NDP,1734
Craig Coolahan,NDP,776
Estefan Cortes-Vargas,NDP,1334
Lorne Dach,NDP,1066
Thomas Dang,NDP,7937
Deborah Drever,NDP,1607
Richard Feehan,NDP,1352
Maria Fitzpatrick,NDP,708
Kathleen Ganley,NDP,3213
Nicole Goehring,NDP,1218
Christina Gray,NDP,2209
Sarah Hoffman,NDP,10896
Trevor Horne,NDP,534
Debbie Jabbour,NDP,463
Jamie Kleinsteuber,NDP,703
Danielle Larivee,NDP,2348
Jessica Littlewood,NDP,1012
Rod Loyola,NDP,2821
Brian Malkinson,NDP,898
Margaret McCuaig-Boyd,NDP,1229
David Bishop,CPC,110
Michael Barrett,CPC,15849
Jordan Brown,Liberal,307
Barrie Clark,Liberal,272
Harold Collins,CPC,137
Tom Hickey,CPC,445
Stephanie McLean,NDP,1577
Ricardo Miranda,NDP,2434
Chris Nielsen,NDP,1093
Brandy Payne,NDP,986
Shannon Phillips,NDP,10054
Colin Piquette,NDP,548
Eric Rosendahl,NDP,641
Irfan Sabir,NDP,4399
Marlin Schmidt,NDP,2978
Kim Schreiner,NDP,506
David Shepherd,NDP,3518
Lori Sigurdson,NDP,1743
Graham Sucha,NDP,3543
Heather Sweet,NDP,2076
Bob Wanner,NDP,867
Cam Westhead,NDP,1104
Denise Woollard,NDP,514
Leland McGaw,CPC,55
Doug Moore,CPC,312
Jamie Fox,CPC,727
Heath MacDonald,Liberal,3542
Sidney MacEwen,CPC,304
Matthew MacKay,CPC,598
Brad Trivers,CPC,562
Oliver Aiken Howland,CPC,444
Onésime Gagnon,CPC,844
Gilles Duceppe,BQ,30930
Pat O'Brien,Liberal,854
Stephen Harper,CPC,518069
