Election Type,Election Date,Province / Territory,Constituency,First Name,Last Name,Political Party,Election Result
General Election,2021-09-20 12:00:00 AM,Alberta,Lakeland,Shannon,Stubbs,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Lakeland,John,Turvey,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Lethbridge,Geoffrey,Capp,Christian Heritage Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Lethbridge,Devon,Hargreaves,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Lethbridge,Kimberley,Hovan,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Lethbridge,Elaine,Perez,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Lethbridge,Kim,Siever,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Lethbridge,Rachael,Thomas,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Medicine Hat—Cardston—Warner,Diandra,Bruisedhead,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Medicine Hat—Cardston—Warner,Brodie,Heidinger,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Medicine Hat—Cardston—Warner,Jocelyn,Johnson,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Medicine Hat—Cardston—Warner,Glen,Motz,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Medicine Hat—Cardston—Warner,Geoff,Shoesmith,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Medicine Hat—Cardston—Warner,Hannah,Wilson,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Peace River—Westlock,Darryl,Boisson,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Peace River—Westlock,Colin,Krieger,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Peace River—Westlock,Jordan,MacDougall,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Peace River—Westlock,Leslie,Penny,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Peace River—Westlock,Gail,Ungstad,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Peace River—Westlock,Arnold,Viersen,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Lacombe,Joan,Barnes,No Affiliation,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Lacombe,Blaine,Calkins,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Lacombe,Tanya,Heyden-Kaye,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Lacombe,Harold,Joujan,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Lacombe,Megan,Lim,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Lacombe,David,Ondieki,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Lacombe,Matthew,Watson,Libertarian Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Mountain View,Olumide,Adewumi,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Mountain View,Earl,Dreeshen,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Mountain View,Marie,Grabowski,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Mountain View,Kelly,Lorencz,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Mountain View,Jared,Pilon,Libertarian Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Mountain View,Mark,Wilcox,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Red Deer—Mountain View,Clayten,Willington,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sherwood Park—Fort Saskatchewan,Garnett,Genuis,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Sherwood Park—Fort Saskatchewan,Tanya,Holm,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sherwood Park—Fort Saskatchewan,Todd,Newberry,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sherwood Park—Fort Saskatchewan,Sheldon Jonah,Perris,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sherwood Park—Fort Saskatchewan,Charles,Simpson,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sherwood Park—Fort Saskatchewan,Aidan,Theroux,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sherwood Park—Fort Saskatchewan,John,Wetterstrand,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,St. Albert—Edmonton,Brigitte,Cecelia,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,St. Albert—Edmonton,Michael,Cooper,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,St. Albert—Edmonton,Kathleen,Mpulubusi,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,St. Albert—Edmonton,Gregory,Springate,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sturgeon River—Parkland,Jeffrey,Dunham,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sturgeon River—Parkland,Dane,Lloyd,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Sturgeon River—Parkland,Murray,MacKinnon,People's Party of Canada,Defeated
